,observation_year,common_name,count,total_count_by_year,perc_total_sightings
0,2007,American Crow,246,2059,11.95
1,2007,American Robin,175,2059,8.5
2,2007,Blue Jay,167,2059,8.11
3,2007,Carolina Chickadee,250,2059,12.14
4,2007,Carolina Wren,238,2059,11.56
5,2007,Downy Woodpecker,170,2059,8.26
6,2007,Great Blue Heron,120,2059,5.83
7,2007,Northern Cardinal,250,2059,12.14
8,2007,Red-bellied Woodpecker,188,2059,9.13
9,2007,Tufted Titmouse,255,2059,12.38
10,2008,American Crow,236,2016,11.71
11,2008,American Robin,175,2016,8.68
12,2008,Blue Jay,184,2016,9.13
13,2008,Carolina Chickadee,251,2016,12.45
14,2008,Carolina Wren,231,2016,11.46
15,2008,Downy Woodpecker,148,2016,7.34
16,2008,Great Blue Heron,162,2016,8.04
17,2008,Northern Cardinal,227,2016,11.26
18,2008,Red-bellied Woodpecker,162,2016,8.04
19,2008,Tufted Titmouse,240,2016,11.9
20,2009,American Crow,441,4199,10.5
21,2009,American Robin,360,4199,8.57
22,2009,Blue Jay,398,4199,9.48
23,2009,Carolina Chickadee,493,4199,11.74
24,2009,Carolina Wren,486,4199,11.57
25,2009,Downy Woodpecker,362,4199,8.62
26,2009,Great Blue Heron,343,4199,8.17
27,2009,Northern Cardinal,481,4199,11.46
28,2009,Red-bellied Woodpecker,362,4199,8.62
29,2009,Tufted Titmouse,473,4199,11.26
30,2010,American Crow,534,4281,12.47
31,2010,American Robin,337,4281,7.87
32,2010,Blue Jay,435,4281,10.16
33,2010,Carolina Chickadee,484,4281,11.31
34,2010,Carolina Wren,494,4281,11.54
35,2010,Downy Woodpecker,329,4281,7.69
36,2010,Great Blue Heron,324,4281,7.57
37,2010,Northern Cardinal,520,4281,12.15
38,2010,Red-bellied Woodpecker,361,4281,8.43
39,2010,Tufted Titmouse,463,4281,10.82
40,2011,American Crow,676,5512,12.26
41,2011,American Robin,433,5512,7.86
42,2011,Blue Jay,513,5512,9.31
43,2011,Carolina Chickadee,692,5512,12.55
44,2011,Carolina Wren,564,5512,10.23
45,2011,Downy Woodpecker,488,5512,8.85
46,2011,Great Blue Heron,476,5512,8.64
47,2011,Northern Cardinal,621,5512,11.27
48,2011,Red-bellied Woodpecker,434,5512,7.87
49,2011,Tufted Titmouse,615,5512,11.16
50,2012,American Crow,1081,8498,12.72
51,2012,American Robin,660,8498,7.77
52,2012,Blue Jay,771,8498,9.07
53,2012,Carolina Chickadee,995,8498,11.71
54,2012,Carolina Wren,913,8498,10.74
55,2012,Downy Woodpecker,680,8498,8.0
56,2012,Great Blue Heron,742,8498,8.73
57,2012,Northern Cardinal,979,8498,11.52
58,2012,Red-bellied Woodpecker,729,8498,8.58
59,2012,Tufted Titmouse,948,8498,11.16
60,2013,American Crow,1341,11039,12.15
61,2013,American Robin,1027,11039,9.3
62,2013,Blue Jay,1107,11039,10.03
63,2013,Carolina Chickadee,1266,11039,11.47
64,2013,Carolina Wren,1223,11039,11.08
65,2013,Downy Woodpecker,860,11039,7.79
66,2013,Great Blue Heron,791,11039,7.17
67,2013,Northern Cardinal,1299,11039,11.77
68,2013,Red-bellied Woodpecker,890,11039,8.06
69,2013,Tufted Titmouse,1235,11039,11.19
70,2014,American Crow,1834,14336,12.79
71,2014,American Robin,1211,14336,8.45
72,2014,Blue Jay,1393,14336,9.72
73,2014,Carolina Chickadee,1751,14336,12.21
74,2014,Carolina Wren,1570,14336,10.95
75,2014,Downy Woodpecker,1082,14336,7.55
76,2014,Great Blue Heron,1062,14336,7.41
77,2014,Northern Cardinal,1640,14336,11.44
78,2014,Red-bellied Woodpecker,1230,14336,8.58
79,2014,Tufted Titmouse,1563,14336,10.9
80,2015,American Crow,2407,19360,12.43
81,2015,American Robin,1520,19360,7.85
82,2015,Blue Jay,1947,19360,10.06
83,2015,Carolina Chickadee,2367,19360,12.23
84,2015,Carolina Wren,1921,19360,9.92
85,2015,Downy Woodpecker,1563,19360,8.07
86,2015,Great Blue Heron,1381,19360,7.13
87,2015,Northern Cardinal,2317,19360,11.97
88,2015,Red-bellied Woodpecker,1765,19360,9.12
89,2015,Tufted Titmouse,2172,19360,11.22
90,2016,American Crow,2754,23326,11.81
91,2016,American Robin,1853,23326,7.94
92,2016,Blue Jay,2149,23326,9.21
93,2016,Carolina Chickadee,2633,23326,11.29
94,2016,Carolina Wren,2610,23326,11.19
95,2016,Downy Woodpecker,1770,23326,7.59
96,2016,Great Blue Heron,1898,23326,8.14
97,2016,Northern Cardinal,2846,23326,12.2
98,2016,Red-bellied Woodpecker,2195,23326,9.41
99,2016,Tufted Titmouse,2618,23326,11.22
