,global_unique_identifier,observation_date,category,common_name,scientific_name,state,county,iba_code,usfws_code,lat,long,observer_id,trip_comments,observation_year,observation_month,season,geometry
18476,URN:CornellLabOfOrnithology:EBIRD:OBS386589735,2007-04-28,species,Lincoln's Sparrow,Melospiza lincolnii,Tennessee,Davidson,US-TN_2843,,36.1781386,-86.7073683,obsr212351,Birding with Mary Zimmerman and Mike Smith,2007,4,spring migration,POINT (-86.7073683 36.1781386)
18477,URN:CornellLabOfOrnithology:EBIRD:OBS386571616,2007-04-28,species,Lincoln's Sparrow,Melospiza lincolnii,Tennessee,Davidson,US-TN_2843,,36.1781386,-86.7073683,obsr164304,,2007,4,spring migration,POINT (-86.7073683 36.1781386)
18490,URN:CornellLabOfOrnithology:EBIRD:OBS335476831,2007-04-28,species,Mourning Warbler,Geothlypis philadelphia,Tennessee,Davidson,US-TN_2841,,36.0602989,-86.8016968,obsr60808,,2007,4,spring migration,POINT (-86.8016968 36.0602989)
28984,URN:CornellLabOfOrnithology:EBIRD:OBS390814040,2007-05-01,species,American Avocet,Recurvirostra americana,Tennessee,Davidson,US-TN_2841,,36.0602989,-86.8016968,obsr238583,,2007,5,spring migration,POINT (-86.8016968 36.0602989)
29028,URN:CornellLabOfOrnithology:EBIRD:OBS41653876,2007-05-25,species,Bank Swallow,Riparia riparia,Tennessee,Davidson,,,36.1658592,-86.7844009,obsr121324,,2007,5,spring migration,POINT (-86.78440089999999 36.1658592)
29132,URN:CornellLabOfOrnithology:EBIRD:OBS335476886,2007-05-05,species,Cerulean Warbler,Setophaga cerulea,Tennessee,Davidson,US-TN_2841,,36.0602989,-86.8016968,obsr60808,,2007,5,spring migration,POINT (-86.8016968 36.0602989)
29133,URN:CornellLabOfOrnithology:EBIRD:OBS386560916,2007-05-02,species,Cerulean Warbler,Setophaga cerulea,Tennessee,Davidson,US-TN_2841,,36.0602989,-86.8016968,obsr164304,,2007,5,spring migration,POINT (-86.8016968 36.0602989)
29166,URN:CornellLabOfOrnithology:EBIRD:OBS386706165,2007-05-09,species,Connecticut Warbler,Oporornis agilis,Tennessee,Davidson,US-TN_2841,,36.0602989,-86.8016968,obsr186024,,2007,5,spring migration,POINT (-86.8016968 36.0602989)
29167,URN:CornellLabOfOrnithology:EBIRD:OBS96711476,2007-05-10,species,Connecticut Warbler,Oporornis agilis,Tennessee,Davidson,US-TN_2841,,36.0602989,-86.8016968,obsr223781,,2007,5,spring migration,POINT (-86.8016968 36.0602989)
29168,URN:CornellLabOfOrnithology:EBIRD:OBS386563977,2007-05-09,species,Connecticut Warbler,Oporornis agilis,Tennessee,Davidson,US-TN_2841,,36.0602989,-86.8016968,obsr164304,,2007,5,spring migration,POINT (-86.8016968 36.0602989)
29254,URN:CornellLabOfOrnithology:EBIRD:OBS277590986,2007-05-04,species,Least Flycatcher,Empidonax minimus,Tennessee,Davidson,US-TN_2843,,36.1781386,-86.7073683,obsr212351,Birded Mission Hill and Phase 1 of Shelby Bottoms,2007,5,spring migration,POINT (-86.7073683 36.1781386)
29255,URN:CornellLabOfOrnithology:EBIRD:OBS386560909,2007-05-02,species,Least Flycatcher,Empidonax minimus,Tennessee,Davidson,US-TN_2841,,36.0602989,-86.8016968,obsr164304,,2007,5,spring migration,POINT (-86.8016968 36.0602989)
29256,URN:CornellLabOfOrnithology:EBIRD:OBS289688550,2007-05-05,species,Least Flycatcher,Empidonax minimus,Tennessee,Davidson,US-TN_2841,,36.0602989,-86.8016968,obsr212351,"Fabulous morning at Radnor Lake, not only in terms of the species, but the sheer numbers of birds.",2007,5,spring migration,POINT (-86.8016968 36.0602989)
29257,URN:CornellLabOfOrnithology:EBIRD:OBS335476954,2007-05-05,species,Least Flycatcher,Empidonax minimus,Tennessee,Davidson,US-TN_2841,,36.0602989,-86.8016968,obsr60808,,2007,5,spring migration,POINT (-86.8016968 36.0602989)
29277,URN:CornellLabOfOrnithology:EBIRD:OBS335476955,2007-05-05,species,Mourning Warbler,Geothlypis philadelphia,Tennessee,Davidson,US-TN_2841,,36.0602989,-86.8016968,obsr60808,,2007,5,spring migration,POINT (-86.8016968 36.0602989)
29278,URN:CornellLabOfOrnithology:EBIRD:OBS289688576,2007-05-05,species,Mourning Warbler,Geothlypis philadelphia,Tennessee,Davidson,US-TN_2841,,36.0602989,-86.8016968,obsr212351,"Fabulous morning at Radnor Lake, not only in terms of the species, but the sheer numbers of birds.",2007,5,spring migration,POINT (-86.8016968 36.0602989)
29279,URN:CornellLabOfOrnithology:EBIRD:OBS386563937,2007-05-09,species,Mourning Warbler,Geothlypis philadelphia,Tennessee,Davidson,US-TN_2841,,36.0602989,-86.8016968,obsr164304,,2007,5,spring migration,POINT (-86.8016968 36.0602989)
29280,URN:CornellLabOfOrnithology:EBIRD:OBS415268671,2007-05-07,species,Mourning Warbler,Geothlypis philadelphia,Tennessee,Davidson,US-TN_2844,,36.0610167,-86.9052351,obsr614175,,2007,5,spring migration,POINT (-86.9052351 36.0610167)
29281,URN:CornellLabOfOrnithology:EBIRD:OBS386706125,2007-05-09,species,Mourning Warbler,Geothlypis philadelphia,Tennessee,Davidson,US-TN_2841,,36.0602989,-86.8016968,obsr186024,,2007,5,spring migration,POINT (-86.8016968 36.0602989)
29489,URN:CornellLabOfOrnithology:EBIRD:OBS41768809,2007-05-21,species,Willow Flycatcher,Empidonax traillii,Tennessee,Davidson,US-TN_2841,,36.0602989,-86.8016968,obsr89014,,2007,5,spring migration,POINT (-86.8016968 36.0602989)
29490,URN:CornellLabOfOrnithology:EBIRD:OBS277590985,2007-05-04,species,Willow Flycatcher,Empidonax traillii,Tennessee,Davidson,US-TN_2843,,36.1781386,-86.7073683,obsr212351,Birded Mission Hill and Phase 1 of Shelby Bottoms,2007,5,spring migration,POINT (-86.7073683 36.1781386)
55366,URN:CornellLabOfOrnithology:EBIRD:OBS96711515,2007-09-29,species,Mourning Warbler,Geothlypis philadelphia,Tennessee,Davidson,US-TN_2841,,36.0602989,-86.8016968,obsr223781,,2007,9,fall migration,POINT (-86.8016968 36.0602989)
55395,URN:CornellLabOfOrnithology:EBIRD:OBS167791063,2007-09-19,species,Red-breasted Nuthatch,Sitta canadensis,Tennessee,Davidson,,,36.062786,-86.7471886,obsr43705,,2007,9,fall migration,POINT (-86.7471886 36.062786)
55396,URN:CornellLabOfOrnithology:EBIRD:OBS96711505,2007-09-16,species,Red-breasted Nuthatch,Sitta canadensis,Tennessee,Davidson,US-TN_2841,,36.0602989,-86.8016968,obsr223781,,2007,9,fall migration,POINT (-86.8016968 36.0602989)
55448,URN:CornellLabOfOrnithology:EBIRD:OBS96711510,2007-09-16,species,Yellow-bellied Flycatcher,Empidonax flaviventris,Tennessee,Davidson,US-TN_2841,,36.0602989,-86.8016968,obsr223781,,2007,9,fall migration,POINT (-86.8016968 36.0602989)
76861,URN:CornellLabOfOrnithology:EBIRD:OBS46550016,2008-01-01,species,American Woodcock,Scolopax minor,Tennessee,Davidson,US-TN_2843,,36.1781386,-86.7073683,obsr89503,,2008,1,offseason,POINT (-86.7073683 36.1781386)
