,year,land_type,class_type,million_cubic_ft,perc_total_land
0,2007,timberland,us_forest_service,1.7,0.41
1,2007,forest land,us_forest_service,1.7,0.41
2,2008,timberland,us_forest_service,2.0,0.45
3,2008,forest land,us_forest_service,1.8,0.41
4,2009,timberland,us_forest_service,2.8,0.6
5,2009,forest land,us_forest_service,2.7,0.6
6,2010,timberland,us_forest_service,2.7,0.63
7,2010,forest land,us_forest_service,2.5,0.6
8,2011,timberland,us_forest_service,2.7,0.6
9,2011,forest land,us_forest_service,2.5,0.57
10,2012,timberland,us_forest_service,2.7,0.58
11,2012,forest land,us_forest_service,2.6,0.57
12,2013,timberland,us_forest_service,2.5,0.58
13,2013,forest land,us_forest_service,2.5,0.59
14,2014,timberland,us_forest_service,,
15,2014,forest land,us_forest_service,,
16,2015,timberland,us_forest_service,0.0,0.0
17,2015,forest land,us_forest_service,0.0,0.0
18,2016,timberland,us_forest_service,0.6,0.16
19,2016,forest land,us_forest_service,0.6,0.16
20,2007,timberland,other_federal,6.3,1.51
21,2007,forest land,other_federal,6.3,1.51
22,2008,timberland,other_federal,6.2,1.4
23,2008,forest land,other_federal,6.2,1.42
24,2009,timberland,other_federal,2.5,0.54
25,2009,forest land,other_federal,2.5,0.56
26,2010,timberland,other_federal,4.1,0.95
27,2010,forest land,other_federal,4.6,1.1
28,2011,timberland,other_federal,4.1,0.91
29,2011,forest land,other_federal,4.5,1.02
30,2012,timberland,other_federal,3.3,0.7
31,2012,forest land,other_federal,3.6,0.79
32,2013,timberland,other_federal,4.8,1.12
33,2013,forest land,other_federal,5.2,1.24
34,2014,timberland,other_federal,4.4,1.07
35,2014,forest land,other_federal,4.7,1.15
36,2015,timberland,other_federal,1.9,0.49
37,2015,forest land,other_federal,2.2,0.57
38,2016,timberland,other_federal,1.9,0.51
39,2016,forest land,other_federal,1.9,0.51
40,2007,timberland,state_and_local_gov,8.0,1.91
41,2007,forest land,state_and_local_gov,6.6,1.58
42,2008,timberland,state_and_local_gov,21.0,4.74
43,2008,forest land,state_and_local_gov,14.1,3.23
44,2009,timberland,state_and_local_gov,28.9,6.23
45,2009,forest land,state_and_local_gov,15.1,3.35
46,2010,timberland,state_and_local_gov,26.0,6.03
47,2010,forest land,state_and_local_gov,13.7,3.27
48,2011,timberland,state_and_local_gov,25.4,5.63
49,2011,forest land,state_and_local_gov,13.2,3.0
50,2012,timberland,state_and_local_gov,27.2,5.8
51,2012,forest land,state_and_local_gov,12.9,2.84
52,2013,timberland,state_and_local_gov,12.9,3.01
53,2013,forest land,state_and_local_gov,3.9,0.93
54,2014,timberland,state_and_local_gov,9.1,2.22
55,2014,forest land,state_and_local_gov,6.7,1.64
56,2015,timberland,state_and_local_gov,14.1,3.62
57,2015,forest land,state_and_local_gov,11.7,3.03
58,2016,timberland,state_and_local_gov,14.8,3.96
59,2016,forest land,state_and_local_gov,12.4,3.36
60,2007,timberland,forest_industry,,
61,2007,forest land,forest_industry,,
62,2008,timberland,forest_industry,,
63,2008,forest land,forest_industry,,
64,2009,timberland,forest_industry,,
65,2009,forest land,forest_industry,,
66,2010,timberland,forest_industry,,
67,2010,forest land,forest_industry,,
68,2011,timberland,forest_industry,,
69,2011,forest land,forest_industry,,
70,2012,timberland,forest_industry,,
71,2012,forest land,forest_industry,,
72,2013,timberland,forest_industry,,
73,2013,forest land,forest_industry,,
74,2014,timberland,forest_industry,,
75,2014,forest land,forest_industry,,
76,2015,timberland,forest_industry,,
77,2015,forest land,forest_industry,,
78,2016,timberland,forest_industry,8.3,2.22
79,2016,forest land,forest_industry,8.3,2.25
80,2007,timberland,nonindustrial_private,402.5,96.18
81,2007,forest land,nonindustrial_private,402.5,96.5
82,2008,timberland,nonindustrial_private,414.0,93.41
83,2008,forest land,nonindustrial_private,414.0,94.93
84,2009,timberland,nonindustrial_private,430.0,92.63
85,2009,forest land,nonindustrial_private,430.0,95.49
86,2010,timberland,nonindustrial_private,398.2,92.37
87,2010,forest land,nonindustrial_private,398.2,95.04
88,2011,timberland,nonindustrial_private,419.4,92.89
89,2011,forest land,nonindustrial_private,419.4,95.4
90,2012,timberland,nonindustrial_private,435.9,92.92
91,2012,forest land,nonindustrial_private,435.9,95.8
92,2013,timberland,nonindustrial_private,408.7,95.31
93,2013,forest land,nonindustrial_private,408.7,97.26
94,2014,timberland,nonindustrial_private,397.2,96.71
95,2014,forest land,nonindustrial_private,397.2,97.19
96,2015,timberland,nonindustrial_private,373.1,95.89
97,2015,forest land,nonindustrial_private,371.8,96.4
98,2016,timberland,nonindustrial_private,347.7,93.14
99,2016,forest land,nonindustrial_private,346.4,93.75
100,2007,timberland,total_land,418.5,
101,2007,forest land,total_land,417.1,
102,2008,timberland,total_land,443.2,
103,2008,forest land,total_land,436.1,
104,2009,timberland,total_land,464.2,
105,2009,forest land,total_land,450.3,
106,2010,timberland,total_land,431.1,
107,2010,forest land,total_land,419.0,
108,2011,timberland,total_land,451.5,
109,2011,forest land,total_land,439.6,
110,2012,timberland,total_land,469.1,
111,2012,forest land,total_land,455.0,
112,2013,timberland,total_land,428.8,
113,2013,forest land,total_land,420.2,
114,2014,timberland,total_land,410.7,
115,2014,forest land,total_land,408.7,
116,2015,timberland,total_land,389.1,
117,2015,forest land,total_land,385.7,
118,2016,timberland,total_land,373.3,
119,2016,forest land,total_land,369.5,
